ID,Group,Gender,Age,Education,Condition,MinAl,MinNonAl,CV,Lags,NTrials,RobustCV,QCV
01_15_KM,1,1,33,16,3,-7.21255123628543,-5.83013206021753,8.90596333659559,172.105577256944,144,0.168674698795181,0.0777777777777778
01_15_KM,1,1,33,16,2,-8.06343452255486,-5.6540476235867,11.1120866603093,182.162350171233,146,0.108695652173913,0.0537634408602151
01_15_KM,1,1,33,16,4,-6.28169776556208,-2.49508407017997,17.6600244926564,179.244791666667,150,0.184782608695652,0.0890052356020942
01_16_KK,1,1,41,16,1,-5.65883079490574,-5.18737054781902,2.51700912240986,197.75,125,0.0490196078431373,0.0246305418719212
01_16_KK,1,1,41,16,3,-3.72411412500679,-2.46030914265408,5.49989278683734,177.690972222222,135,0.0869565217391304,0.0434782608695652
01_16_KK,1,1,41,16,2,-6.43682212853062,-5.96115901499747,4.76535938835399,195.973115808824,136,0.0198019801980198,0.01
01_16_KK,1,1,41,16,4,-4.7904424271415,-3.87084038390856,9.23014947240025,207.399230072464,138,0.09,0.0430622009569378
01_17_KD,1,2,37,12,1,-2.63521031744981,-1.09603204657448,8.6474064480328,183.477338576159,151,0.119565217391304,0.0569948186528497
01_17_KD,1,2,37,12,3,-2.76707278746593,-1.68794568382902,6.99460613468768,178.098060344828,145,0.119565217391304,0.0621468926553672
01_17_KD,1,2,37,12,2,-4.20283210135199,-3.25486975656851,7.38060902657324,189.263237847222,144,0.104166666666667,0.0510204081632653
01_17_KD,1,2,37,12,4,-3.2635636298753,-1.67054738674458,14.8555732580895,182.156032986111,144,0.15625,0.0802139037433155
01_18_TP,1,2,28,17,1,-3.74490994613067,-2.12527120657717,16.7381612843662,217.057291666667,150,0.156521739130435,0.0789473684210526
01_18_TP,1,2,28,17,3,-4.84386266956068,-3.56004285350211,10.1876658609276,197.582690746753,154,0.104761904761905,0.054726368159204
01_18_TP,1,2,28,17,2,-4.44906275078009,-3.28573564634832,4.99176053193916,215.80762987013,154,0.087719298245614,0.0458715596330275
01_18_TP,1,2,28,17,4,-3.63845135693991,-3.13620773908783,5.91293932607593,221.639554794521,146,0.018018018018018,0.00909090909090909
01_19_KV,1,2,22,9,1,-1.82413669639259,-1.57852841441986,1.67975115293113,221.74072265625,128,0.0176991150442478,0.00884955752212389
01_19_KV,1,2,22,9,3,-2.75072319552761,-1.92363121469869,16.7429178555187,199.485085227273,110,0.0686274509803922,0.0338164251207729
